model_uuid,conv_cnt,linear_cnt,relu_cnt,lrelu_cnt,avg_pooling_cnt,max_pooling_cnt,out_features,linear_input_features,conv_kernel_size_2,conv_kernel_size_3,time
80ce6380-4bc7-4339-8b24-5ae269a8a83a,4,1,0,4,0,2,131,184512,4,4,0.0125969886779785
464be7de-707f-4ba0-a7c1-1b66d3bc5548,2,2,1,1,2,0,83,2700,2,2,0.0012003898620605
23d13ed0-b7fb-4fbd-ba77-d4dc8987b5bc,2,1,0,2,2,0,293,3072,2,2,0.0010000228881835
c6ce1996-fd8b-46d3-8aa1-e5afca960954,6,3,3,3,1,2,64,43200,6,6,0.0101930618286132
edb7fb6b-dca5-4c9a-8dd7-28a4ae8da925,4,3,2,2,2,1,47,172800,4,4,0.0185263633728027
adc6a1bf-e468-4e8f-9999-2970aa43a535,5,2,4,1,2,1,15,384,5,5,0.0019924163818359
68d21953-753f-4f37-a0a4-9c974b955925,8,3,5,3,3,0,19,92928,8,8,0.019206428527832
fbb61c8e-fd37-4f87-8dfe-3f9820c4c448,4,2,3,1,1,2,101,432,4,4,0.0009994983673095
50da2cab-9510-4378-860c-0af47f1a29e6,5,2,4,1,1,2,72,1536,5,5,0.0019999980926513
64032ded-9453-44ff-a41e-4af1d8c7735b,4,1,3,1,1,2,142,3072,4,4,0.0023999214172363
d4a803f1-791b-410e-8493-35419ef14f70,2,3,2,0,1,1,23,13068,2,2,0.001200246810913
ed8629cd-3485-4c2c-8d04-33704c199c51,5,3,2,3,1,1,52,27744,5,5,0.0032005310058593
e5c601a9-c4cb-4d67-8402-7a6fa2732ff3,4,2,3,1,1,1,96,52272,4,4,0.0112005233764648
f551c2c2-7dd1-4ef1-b333-415eedc43b75,3,2,0,3,0,2,133,5400,3,3,0.0020008563995361
3646508f-d238-4784-8fee-af757fc08ba3,8,3,5,3,3,0,58,6912,8,8,0.0122005939483642
2158a488-de80-46ef-8eb8-426197ba9f29,5,2,2,3,0,3,102,3456,5,5,0.0030003070831298
5c65d129-30cd-49b7-af85-903e99e61f36,3,1,3,0,0,2,291,86400,3,3,0.0085997104644775
d46e7ab1-5680-4a7b-85b9-04b7e3f9a1a0,7,3,4,3,1,2,60,18816,7,7,0.0195996284484863
8602c721-15c7-40fb-89c7-817a44e1bd83,8,1,3,5,2,1,255,768,8,8,0.0027998924255371
74ec0a3a-f76b-4553-98ad-8665aa6a862f,8,3,8,0,2,1,21,12288,8,8,0.0057994842529296
79a705f9-698e-46fa-93ba-21d93e8f98dd,6,1,5,1,2,1,126,12288,6,6,0.0058011054992675
0f03b8d2-f739-46da-bd02-74ef04784050,7,3,5,2,0,3,33,6144,7,7,0.004800271987915
f8b0e22a-5306-4c84-b8c2-921b3651f2c2,2,1,1,1,1,1,50,11532,2,2,0.0017998695373535
9d748c3f-1444-4a32-8f30-9165dcbce188,4,2,4,0,0,2,34,2352,4,4,0.0014001369476318
82e90c00-c10a-460b-af07-e94242ff55cc,3,1,3,0,2,0,112,26136,3,3,0.0034001350402832
65d47fe6-b130-456e-9403-9518fbbe47d8,4,3,0,4,0,2,15,49152,4,4,0.0042368412017822
7b6d5388-9122-4e82-bd04-25013259aceb,6,2,3,3,1,1,50,4800,6,6,0.0023999691009521
3fb0b832-4783-46a3-ba5f-88aef73a88f0,4,3,1,3,2,1,14,432,4,4,0.0024000644683837
9e8b8e4d-ef4f-4fe3-8263-ce712bd812d8,6,2,6,0,2,1,98,12288,6,6,0.00280122756958
6fc0832b-8e8a-4a10-902c-a11bb893e5b9,5,1,5,0,2,1,69,864,5,5,0.0017997741699218
5acb28f3-6775-4938-a734-d9336c74ae9f,3,1,3,0,0,2,218,6144,3,3,0.0026003360748291
23ffa9f3-c0b8-4b9c-b29e-bd3f300033de,8,2,6,2,1,2,123,37632,8,8,0.0244003772735595
c77a6493-10d4-421a-8ea1-18ba098e01a3,3,2,2,1,2,0,133,95256,3,3,0.0125996112823486
d2e7407b-f5d1-4d3b-975e-6ccc4ba40cb9,5,3,5,0,2,1,32,345600,5,5,0.0279997825622558
f304b344-2e27-4cb2-9013-184383830d05,5,2,3,2,1,1,66,21600,5,5,0.0054005146026611
b075c80f-8068-4552-a488-8f66c10de7d0,6,1,6,0,0,2,269,15552,6,6,0.0046019077301025
410be2ea-3803-48a1-8966-885a82b33db2,4,3,4,0,1,1,12,3072,4,4,0.0010003089904785
0da3f0a6-7ceb-4ada-8ce6-7ba9fd95ecb1,4,2,2,2,0,3,89,3888,4,4,0.0013999938964843
ddbeec12-652c-40e9-ac8f-5c4cb24db8cb,9,1,6,3,1,2,221,55296,9,9,0.0235998630523681
c296f313-9664-4588-9f65-d795f2dc8892,8,1,5,3,1,2,78,3072,8,8,0.0038000583648681
0829d9fd-19a8-4de6-9dfa-6fe18e7c15d0,4,1,1,3,1,2,54,10800,4,4,0.0034007549285888
ebc544a8-0318-4827-95d7-fb3dcb1dd107,4,1,3,1,2,0,235,10800,4,4,0.0028000831604003
e0a8b001-f7b5-45b5-bb30-ebd7a0cdffa6,5,1,2,3,1,1,187,13824,5,5,0.0040001392364501
7c27406d-277e-407b-85a0-9fcb54d72ca0,5,1,2,3,2,1,178,369024,5,5,0.0389945983886718
731b8573-5cdc-4de4-bfb0-7969a7cfa724,5,1,3,2,0,3,213,1536,5,5,0.0018010139465332
2a65dd7c-7e51-4327-bc28-7565ed9437d7,6,2,4,2,1,2,105,12288,6,6,0.0108012199401855
58d6d6da-e969-4023-9507-f42f0a9b35cd,5,1,3,2,1,1,300,3456,5,5,0.0020001411437988
4de24c47-1605-43a8-a19f-505301213c05,3,1,3,0,1,1,45,369024,3,3,0.0135951995849609
cbfa8875-37d9-4609-abb0-53a73a15215b,8,1,8,0,3,0,262,150528,8,8,0.0289930820465087
f6dece03-a825-4575-b8a2-b76023ed4099,4,3,3,1,2,0,12,10800,4,4,0.0018003463745117
326ba86b-05d4-4337-873d-812b1af8b91e,6,3,2,4,3,0,59,768,6,6,0.0016000270843505
a459c37a-f4af-4b51-92bc-404127c95d52,5,1,2,3,2,0,58,86400,5,5,0.0042020797729492
750876da-2713-47d6-9c2a-28a074cb55fc,3,2,0,3,0,2,50,6144,3,3,0.0023999691009521
739935e1-a8c5-40da-802c-94440527dad6,7,1,6,1,3,0,69,6144,7,7,0.0023998737335205
